epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
62	0.1	0.0	0.1	100.0	90.1	61999	-5.79541	0.34818032	4899.23014593	0.052521363
63	0.2	0.18181819	0.2	91.0	80.2	62999	-5.584793	0.35474765	4975.41127396	0.05186438
64	0.0	0.1	0.0	99.9	95.8	63999	-5.4990115	0.35942656	5056.90555501	0.04996788
65	0.0	0.0	0.0	92.63636	95.0	64999	-5.4109545	0.35531262	5139.93191385	0.052504446
66	0.2	0.16666667	0.2	82.0	80.2	65999	-5.270083	0.33859205	5224.25334287	0.056857083
67	0.2	0.09090909	0.2	90.72727	80.2	66999	-5.1281104	0.32032147	5301.53978205	0.053201262
68	0.1	0.0	0.1	99.9	90.1	67999	-5.0803924	0.31770793	5381.99098802	0.053015582
69	0.1	0.0	0.1	100.0	90.1	68999	-5.091003	0.3206142	5460.61245203	0.051971596
70	0.0	0.0	0.0	100.0	100.0	69999	-5.1436896	0.32363153	5537.38070393	0.047966097
71	0.1	0.083333336	0.1	83.833336	90.1	70999	-5.1760507	0.33339232	5612.23312283	0.049783915
72	0.1	0.0	0.1	98.454544	90.1	71999	-5.188185	0.34208867	5684.62311697	0.047618616
73	0.2	0.0	0.2	91.1	80.2	72999	-5.237613	0.34937388	5753.65923095	0.048228074
74	0.1	0.0	0.1	100.0	90.1	73999	-5.31876	0.35574737	5828.02063489	0.048817817
75	0.1	0.083333336	0.1	84.666664	90.1	74999	-5.4341187	0.36940923	5915.96463799	0.055831954
76	0.1	0.16666667	0.1	82.166664	90.1	75999	-5.5781817	0.37081626	6001.58633685	0.05619878
77	0.2	0.09090909	0.2	90.818184	80.2	76999	-5.581532	0.36651552	6081.21567392	0.0541587
78	0.1	0.0	0.1	99.9	90.1	77999	-5.4593163	0.3434255	6163.52839684	0.054055244
79	0.1	0.0	0.1	100.0	90.1	78999	-5.39831	0.32985538	6239.72273088	0.050671805
80	0.2	0.0	0.2	100.0	74.4	79999	-5.3344784	0.32169908	6311.59109092	0.050177522
81	0.0	0.07692308	0.0	82.76923	85.5	80999	-5.16587	0.304735	6389.87338591	0.051283523
82	0.0	0.0	0.0	71.84615	93.0	81999	-5.002535	0.2881142	6467.9814539	0.05258039
83	0.0	0.13333334	0.0	69.933334	90.4	82999	-4.9055862	0.27469328	6546.74664593	0.051987074
84	0.1	0.16666667	0.1	78.583336	90.1	83999	-4.8476496	0.26260617	6624.5597949	0.050755735
85	0.0	0.0	0.0	99.8	100.0	84999	-4.7759104	0.25179154	6706.65590596	0.0512968
86	0.1	0.0	0.1	100.0	90.1	85999	-4.6756535	0.24454942	6794.38296986	0.055114683
87	0.0	0.09090909	0.0	91.27273	100.0	86999	-4.5575814	0.23566271	6884.33940291	0.05695299
88	0.2	0.0	0.2	99.6	80.2	87999	-4.432454	0.22916858	6968.58522797	0.058272243
89	0.0	0.09090909	0.0	92.454544	97.4	88999	-4.3225183	0.22769932	7045.83903503	0.050278213
90	0.0	0.09090909	0.0	89.454544	90.4	89999	-4.256872	0.23069297	7121.88059402	0.04927509
91	0.0	0.09090909	0.0	90.90909	100.0	90999	-4.216313	0.24014615	7199.02859592	0.04999981
92	0.0	0.0	0.0	93.36364	100.0	91999	-4.187884	0.23984013	7276.687644	0.049230803
93	0.0	0.0	0.0	97.2	100.0	92999	-4.152146	0.23707749	7353.51057196	0.04851655
94	0.1	0.0	0.1	100.0	90.1	93999	-4.121432	0.22770047	7429.62031293	0.04983837
95	0.2	0.21428572	0.2	76.28571	80.2	94999	-4.0823636	0.22484104	7499.35794592	0.048204936
96	0.1	0.0	0.1	93.2	90.1	95999	-4.059534	0.22604984	7571.26467085	0.046949234
97	0.0	0.1	0.0	100.0	94.6	96999	-4.031357	0.22624063	7642.78530788	0.04608815
98	0.0	0.09090909	0.0	91.0	100.0	97999	-3.9721572	0.22954056	7717.95492101	0.047709033
99	0.1	0.0	0.1	99.9	90.1	98999	-3.8765693	0.23077063	7790.26382399	0.04878213
100	0.0	0.23076923	0.0	77.15385	100.0	99999	-3.8395004	0.22968787	7869.08638	0.04970701
101	0.1	0.0	0.1	99.7	90.1	100999	-3.7767568	0.22108604	7945.92264199	0.049197584
102	0.0	0.09090909	0.0	91.0	100.0	101999	-3.761034	0.20831242	8035.45384097	0.056342296
103	0.0	0.09090909	0.0	90.90909	100.0	102999	-3.772933	0.20130184	8127.23752689	0.056880683
104	0.0	0.0	0.0	99.9	100.0	103999	-3.7352848	0.19929904	8218.05146885	0.0570637
105	0.1	0.09090909	0.1	91.0	90.1	104999	-3.675629	0.20185293	8301.01066899	0.05209604
106	0.0	0.18181819	0.0	90.90909	100.0	105999	-3.645766	0.19803534	8386.14232683	0.052277286
107	0.1	0.0	0.1	99.9	90.1	106999	-3.6155133	0.19164233	8470.28951192	0.054129925
108	0.0	0.1	0.0	100.0	100.0	107999	-3.6375828	0.19600628	8549.40706587	0.05002639
109	0.0	0.09090909	0.0	91.0	100.0	108999	-3.7229254	0.19958237	8629.75636482	0.049373347
110	0.3	0.0	0.3	99.9	70.3	109999	-3.7662082	0.19849384	8696.65286899	0.0476485
111	0.0	0.18181819	0.0	91.0	100.0	110999	-3.7538085	0.1962498	8772.53409195	0.04706893
112	0.0	0.0	0.0	99.9	100.0	111999	-3.7481158	0.18531843	8850.08135295	0.04963025
113	0.0	0.0	0.0	100.0	100.0	112999	-3.7656128	0.18101026	8926.71022797	0.049599655
114	0.1	0.0	0.1	100.0	87.0	113999	-3.7741628	0.18496118	8997.88932395	0.04802149
115	0.1	0.0	0.1	100.0	90.1	114999	-3.7919843	0.18849076	9067.50993586	0.046872087
116	0.0	0.0	0.0	96.63636	92.8	115999	-3.7914712	0.18647647	9139.51663089	0.0473093
117	0.1	0.071428575	0.1	72.78571	90.1	116999	-3.762953	0.18719684	9214.78709102	0.04860942
118	0.0	0.083333336	0.0	78.166664	100.0	117999	-3.7271378	0.18615016	9299.54430389	0.052943416
119	0.0	0.0	0.0	98.0	96.5	118999	-3.6490538	0.181762	9379.45414186	0.051317893
120	0.0	0.0	0.0	93.0	100.0	119999	-3.491872	0.17335336	9457.58322096	0.05030017
121	0.0	0.09090909	0.0	88.90909	100.0	120999	-3.3490233	0.16158316	9536.10141182	0.05023553
122	0.2	0.09090909	0.2	90.90909	80.2	121999	-3.2031016	0.15115221	9610.05312896	0.049808938
123	0.1	0.0	0.1	93.181816	90.1	122999	-3.0723617	0.14682008	9689.66344905	0.050864417
124	0.1	0.18181819	0.1	88.63636	90.1	123999	-2.9423428	0.14093961	9766.50089502	0.04955235
125	0.0	0.0	0.0	99.9	100.0	124999	-2.8010678	0.13737811	9845.75997186	0.04971637
126	0.1	0.0	0.1	100.0	74.8	125999	-2.690558	0.13915879	9918.06736183	0.05003448
127	0.1	0.0	0.1	100.0	90.1	126999	-2.6271307	0.13770755	9992.98278284	0.048329193
128	0.0	0.0	0.0	100.0	100.0	127999	-2.590879	0.14210156	10072.1828229	0.04940663
129	0.0	0.0	0.0	100.0	100.0	128999	-2.5469887	0.1397065	10150.5102248	0.049502764
130	0.0	0.23076923	0.0	77.23077	90.4	129999	-2.5216749	0.14071906	10225.9866168	0.048540503
131	0.0	0.0	0.0	90.90909	100.0	130999	-2.5334673	0.14421557	10301.803839	0.04758785
132	0.0	0.09090909	0.0	90.63636	81.0	131999	-2.5859053	0.15041134	10373.6027989	0.047480714
133	0.0	0.0	0.0	99.9	90.4	132999	-2.650419	0.15224965	10447.3248599	0.049995583
134	0.0	0.0	0.0	100.0	100.0	133999	-2.70244	0.15415403	10527.4562199	0.05096126
135	0.0	0.07692308	0.0	77.61539	100.0	134999	-2.7552574	0.15869021	10611.134654	0.05011133
136	0.1	0.0	0.1	90.454544	90.1	135999	-2.8004942	0.15745509	10691.1512671	0.052831426
137	0.0	0.16666667	0.0	83.166664	100.0	136999	-2.784198	0.15109296	10773.057189	0.05057785
138	0.0	0.16666667	0.0	83.333336	100.0	137999	-2.7893445	0.15017554	10852.2463729	0.04990892
139	0.0	0.0	0.0	91.09091	100.0	138999	-2.7562711	0.15126538	10936.2224529	0.0527722
140	0.1	0.083333336	0.1	83.5	90.1	139999	-2.7240303	0.15058294	11017.2758548	0.053351793
141	0.0	0.18181819	0.0	90.454544	100.0	140999	-2.6808274	0.14904995	11102.1347558	0.052265737
142	0.1	0.0	0.1	92.0	90.1	141999	-2.6537929	0.14670438	11184.8598011	0.053757753
143	0.0	0.09090909	0.0	89.818184	90.8	142999	-2.5920377	0.14715093	11268.656152	0.054269493
144	0.2	0.083333336	0.2	91.0	80.2	143999	-2.5059	0.14595687	11345.6923659	0.0523519
145	0.1	0.0	0.1	88.181816	83.5	144999	-2.4076352	0.14915463	11423.7865109	0.05181295
146	0.1	0.09090909	0.1	85.27273	86.0	145999	-2.316085	0.1542754	11501.0776179	0.05057602
147	0.2	0.09090909	0.2	90.90909	68.0	146999	-2.2526968	0.15425617	11573.7023289	0.050854705
148	0.0	0.16666667	0.0	87.083336	100.0	147999	-2.255513	0.15718037	11655.160604	0.050902296
149	0.0	0.0	0.0	95.4	100.0	148999	-2.2346246	0.15800609	11731.985055	0.048499502
150	0.0	0.16666667	0.0	83.5	92.3	149999	-2.2124248	0.15639898	11810.1900189	0.050546598
151	0.0	0.09090909	0.0	90.818184	100.0	150999	-2.1961665	0.15629636	11890.6673748	0.0515505
152	0.0	0.0	0.0	99.9	100.0	151999	-2.1891103	0.1599566	11975.189234	0.050921798
153	0.1	0.0	0.1	100.0	90.1	152999	-2.196746	0.15990418	12052.506918	0.049639393
154	0.0	0.1	0.0	100.0	100.0	153999	-2.187226	0.16069265	12135.2950189	0.051927075
155	0.0	0.16666667	0.0	83.5	100.0	154999	-2.1658385	0.15842658	12214.6408539	0.050544567
156	0.1	0.09090909	0.1	90.818184	90.1	155999	-2.1641822	0.1626642	12289.601537	0.049098436
157	0.0	0.0	0.0	92.63636	100.0	156999	-2.1651974	0.16187641	12366.6055019	0.04846782
158	0.0	0.0	0.0	98.0	100.0	157999	-2.1660144	0.17054906	12446.850004	0.050673746
159	0.1	0.09090909	0.1	91.0	90.1	158999	-2.184239	0.17658103	12525.4045279	0.051695287
160	0.2	0.0	0.2	99.9	80.2	159999	-2.2048519	0.17755951	12598.8379929	0.050814584
161	0.0	0.09090909	0.0	91.0	100.0	160999	-2.2300138	0.18591236	12676.2670379	0.050682127
162	0.1	0.0	0.1	99.9	90.1	161999	-2.256396	0.18669194	12751.21299	0.050153054
163	0.0	0.083333336	0.0	87.75	92.3	162999	-2.2774615	0.1865754	12829.0171139	0.04913507
164	0.2	0.083333336	0.2	81.25	80.2	163999	-2.2941754	0.18714422	12900.8777559	0.04837196
165	0.0	0.0	0.0	91.545456	93.0	164999	-2.3214357	0.18792236	12977.2829618	0.050266467
166	0.2	0.09090909	0.2	87.818184	80.2	165999	-2.3561704	0.1987985	13048.6460309	0.05057633
167	0.0	0.18181819	0.0	90.90909	92.0	166999	-2.3809679	0.20229782	13128.44712	0.051844202
168	0.1	0.0	0.1	92.09091	75.5	167999	-2.41895	0.20636454	13201.622227	0.050881628
169	0.1	0.07692308	0.1	82.23077	90.1	168999	-2.4474459	0.2058967	13279.2923799	0.051105812
170	0.0	0.16666667	0.0	76.583336	100.0	169999	-2.5011153	0.20523034	13358.7825229	0.050530374
171	0.1	0.09090909	0.1	90.818184	90.1	170999	-2.5417476	0.20207758	13436.184196	0.052107964
172	0.0	0.1	0.0	99.9	100.0	171999	-2.5773444	0.20210554	13518.329087	0.0514016
173	0.1	0.0	0.1	100.0	90.1	172999	-2.6073642	0.19720593	13595.6902709	0.04976071
174	0.0	0.0	0.0	100.0	100.0	173999	-2.6343923	0.19719195	13678.678405	0.051158853
175	0.0	0.0	0.0	100.0	100.0	174999	-2.6107402	0.19087948	13760.738512	0.051825937
176	0.1	0.0	0.1	100.0	81.1	175999	-2.5737703	0.18837659	13839.4058518	0.052846078
177	0.2	0.0	0.2	100.0	71.0	176999	-2.5551987	0.18704018	13912.335906	0.05302015
178	0.0	0.2857143	0.0	78.35714	97.6	177999	-2.550447	0.18124974	13992.687444	0.05375875
179	0.1	0.0	0.1	83.181816	90.1	178999	-2.5843642	0.1890214	14074.981884	0.053314775
180	0.1	0.18181819	0.1	89.90909	69.0	179999	-2.6101058	0.1889599	14148.400003	0.05209715
181	0.0	0.09090909	0.0	90.90909	90.8	180999	-2.6343677	0.18942429	14227.1272149	0.052423775
182	0.0	0.0	0.0	86.0	100.0	181999	-2.6792371	0.18702349	14307.646333	0.05170965
183	0.1	0.09090909	0.1	88.0	90.1	182999	-2.715254	0.1945843	14384.8534019	0.052433908
184	0.0	0.07692308	0.0	82.76923	100.0	183999	-2.7576716	0.19403201	14468.3872628	0.054434363
185	0.0	0.16666667	0.0	77.083336	100.0	184999	-2.8257945	0.20285042	14550.0172138	0.05150437
186	0.0	0.0	0.0	99.8	93.9	185999	-2.907989	0.20957492	14628.9569609	0.051605914
187	0.1	0.0	0.1	100.0	70.9	186999	-3.0259557	0.22154516	14700.789984	0.049989987
188	0.0	0.0	0.0	100.0	100.0	187999	-3.150937	0.25029826	14780.2007699	0.049714997
189	0.1	0.0	0.1	87.333336	62.0	188999	-3.4348974	0.2838695	14851.0459409	0.051897325
