Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
19	0.068571426	0.25272393	1.0	0.0	0.0	0.0	0.0	0.0	42.845715	13.0	284999	7922711500000.0	2001296000000.0	18173571000000.0	1672932200000.0	2518823500000.0	837459600000.0	6280708600000.0	565192260.0	4305.0903	1321.9102	10337.728	2065.2656	-8886512000000.0	3.751713e+25	29076.20471715927
20	0.055072464	0.22812165	1.0	0.0	0.0	0.0	0.0	0.0	43.466667	13.0	299999	8286956000000.0	2075442400000.0	18868830000000.0	1957707800000.0	2555970300000.0	851750160000.0	6360469000000.0	591669600.0	4184.956	1346.8054	9948.168	1937.1333	-9295058000000.0	4.1986717e+25	30613.94643998146
21	0.055072464	0.22812165	1.0	0.0	0.0	0.0	0.0	0.0	43.466667	13.0	314999	8674714600000.0	2156201900000.0	19787617000000.0	2059660200000.0	2595024000000.0	867744940000.0	6485218700000.0	624320800.0	4769.526	1844.439	11128.6455	2097.0781	-9722154000000.0	4.690545e+25	32150.78866291046
22	0.06321839	0.24335535	1.0	0.0	0.1	0.29999998	1.0	0.0	43.091953	11.8	329999	9090252000000.0	2242755400000.0	20605640000000.0	2166507400000.0	2639959700000.0	884411500000.0	6581693400000.0	657067700.0	3989.5667	1386.8054	9582.197	1980.0125	-10181658000000.0	5.249828e+25	33687.70083451271
23	0.046783626	0.21117508	1.0	0.0	0.0	0.0	0.0	0.0	43.847954	13.0	344999	9499190000000.0	2324124700000.0	21442340000000.0	2176597800000.0	2679013000000.0	897283650000.0	6653125600000.0	686853060.0	3698.9128	819.6077	6753.491	1682.5266	-10628493000000.0	5.8330615e+25	35214.44628119469
24	0.04385965	0.20478277	1.0	0.0	0.0	0.0	0.0	0.0	43.982456	13.0	359999	9863162000000.0	2392468200000.0	22105148000000.0	2245386000000.0	2702626000000.0	905096270000.0	6692051400000.0	718944900.0	4903.227	1418.2117	10387.514	1738.0415	-11015556000000.0	6.3785193e+25	36722.841044187546
25	0.04956268	0.2170397	1.0	0.0	0.0	0.0	0.0	0.0	43.720116	13.0	374999	10161008000000.0	2441306200000.0	22650242000000.0	2323849000000.0	2713034700000.0	908641500000.0	6704958300000.0	751673340.0	4809.6274	1287.4753	9965.735	1874.3903	-11325511000000.0	6.8454567e+25	38224.238607406616
26	0.055072464	0.22812165	1.0	0.0	0.2	0.4	1.0	0.0	43.466667	10.6	389999	10412287000000.0	2480422300000.0	23047952000000.0	2415917500000.0	2721327600000.0	911934000000.0	6710496300000.0	784834100.0	4449.3794	963.1239	8463.962	2206.1143	-11589443000000.0	7.257223e+25	39728.932369470596
27	0.046783626	0.21117508	1.0	0.0	0.0	0.0	0.0	0.0	43.847954	13.0	404999	10628466000000.0	2511665600000.0	23420922000000.0	2441824400000.0	2727112900000.0	914311900000.0	6720239700000.0	816078700.0	4806.727	909.15576	8509.304	2560.455	-11817370000000.0	7.6231465e+25	41228.48480510712
28	0.04956268	0.21703969	1.0	0.0	0.1	0.29999998	1.0	0.0	43.720116	11.8	419999	10764707000000.0	2522618300000.0	23507675000000.0	2501956900000.0	2733823500000.0	916988170000.0	6728567500000.0	849161100.0	5610.241	1400.6544	10541.609	2888.52	-11933128000000.0	7.805671e+25	42746.53632569313
29	0.06051873	0.23844542	1.0	0.0	0.0	0.0	0.0	0.0	43.216137	13.0	434999	10801053000000.0	2506048400000.0	23506070000000.0	2487033300000.0	2741309800000.0	920412000000.0	6740611000000.0	881141440.0	6233.0347	1588.7285	12351.569	2807.5173	-11961592000000.0	7.835307e+25	44279.58506989479
30	0.04398827	0.205069	1.0	0.0	0.0	0.0	0.0	0.0	43.97654	13.0	449999	10823780000000.0	2488827000000.0	23513365000000.0	2456825400000.0	2747184700000.0	923459060000.0	6754093000000.0	913968600.0	6066.36	1667.2515	12004.055	3083.355	-11985929000000.0	7.857367e+25	45817.795523405075
31	0.053435113	0.22489953	1.0	0.0	0.1	0.29999998	1.0	0.0	56.412212	270.1	464999	10959376000000.0	3690343700000.0	196490660000000.0	109076.12	2794638300000.0	1264944400000.0	54965536000000.0	354815.47	7139.468	5716.568	1362337.4	2624.7698	-12031752000000.0	8.701388e+25	47261.47488617897
32	0.056603774	0.23108391	1.0	0.0	0.0	0.0	0.0	0.0	283.07547	300.0	479999	14555472000000.0	17953165000000.0	207766640000000.0	3148603.5	3554563000000.0	3635152700000.0	55884584000000.0	355384.88	23832.957	8983.133	151762.4	7665.9346	-12388925000000.0	3.768876e+26	48279.82519698143
33	0.019607844	0.13864838	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	494999	19284147000000.0	26307457000000.0	207746830000000.0	70442240.0	4245408700000.0	4879135000000.0	57233023000000.0	367274.03	39822.625	16651.041	185965.61	16782.055	-12487850000000.0	7.806732e+26	49294.53558254242
34	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	300.0	270.1	509999	22294454000000.0	27543556000000.0	207733360000000.0	129616010.0	4560108700000.0	5158448000000.0	58720726000000.0	378432.72	60668.406	22440.012	257374.53	14820.942	-12265822000000.0	9.431057e+26	50299.66867184639
35	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	524999	25151037000000.0	28270563000000.0	207720020000000.0	171053550.0	4853793000000.0	5454905700000.0	60348400000000.0	390170.53	61533.58	22618.791	240715.12	17381.701	-11997371000000.0	1.0917619e+27	51317.93579888344
36	0.03846154	0.19230768	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	539999	27799608000000.0	28531705000000.0	207705830000000.0	260434740.0	5107827600000.0	5755477000000.0	61697755000000.0	401856.75	79650.51	32106.342	558121.0	19364.102	-11636279000000.0	1.2247491e+27	52321.148790597916
37	0.03846154	0.19230767	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	554999	30677704000000.0	28716325000000.0	207693410000000.0	320411600.0	5394364600000.0	6042543500000.0	62589522000000.0	413585.06	93325.016	37850.125	467366.7	12313.055	-11220387000000.0	1.3724682e+27	53326.1503033638
38	0.019607844	0.13864839	1.0	0.0	0.1	0.29999998	1.0	0.0	294.13727	270.1	569999	33638160000000.0	28631865000000.0	207680630000000.0	350681180.0	5621343000000.0	6206852700000.0	62702014000000.0	425304.66	121022.734	42496.594	440635.75	24356.838	-10652708000000.0	1.5258227e+27	54335.41729307175
39	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	584999	36636100000000.0	28268705000000.0	207667290000000.0	273472860.0	5765741000000.0	6284074500000.0	62210990000000.0	437052.22	115658.51	38469.39	416392.16	31616.076	-9905192000000.0	1.6853695e+27	55345.75893473625
40	0.10714286	0.3092948	1.0	0.0	0.0	0.0	0.0	0.0	267.9643	300.0	599999	39527113000000.0	27527513000000.0	207654190000000.0	304493570.0	5886259500000.0	6266516000000.0	60924094000000.0	448739.97	127383.8	42368.26	504452.7	37753.773	-9132671000000.0	1.8353113e+27	56352.58530020714
41	0.056603774	0.23108391	1.0	0.0	0.1	0.29999998	1.0	0.0	283.07547	270.1	614999	42037655000000.0	26356635000000.0	207642340000000.0	378953400.0	6142995500000.0	6221987000000.0	59168837000000.0	460351.78	142172.47	44189.49	563166.9	30928.385	-8508651600000.0	1.9438975e+27	57343.44264602661
42	0.019607844	0.13864838	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	629999	44507945000000.0	24874863000000.0	207629720000000.0	455518500.0	6400913700000.0	6154480500000.0	57316263000000.0	471788.6	172963.84	42654.652	668493.6	31464.523	-7926536000000.0	2.0500209e+27	58349.194477796555
43	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	644999	46974180000000.0	22977861000000.0	207618670000000.0	514280700.0	6636915000000.0	6045441700000.0	55452436000000.0	482644.1	209713.31	49252.887	622266.2	79345.875	-7355651000000.0	2.1577208e+27	59312.00544881821
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	659999	49426165000000.0	20703995000000.0	207606340000000.0	489455040.0	6900871000000.0	5964857000000.0	53613087000000.0	481257.28	203774.9	46590.27	655461.8	49477.242	-6850305600000.0	2.2669164e+27	60268.48605489731
45	0.056603774	0.23108391	1.0	0.0	0.1	0.29999998	1.0	0.0	283.07547	270.1	674999	50280528000000.0	18256348000000.0	207595260000000.0	399536400.0	6897386000000.0	5742762400000.0	52789730000000.0	471021.47	195650.17	41197.598	634566.44	47050.12	-6371896500000.0	2.2647113e+27	61225.2697763443
46	0.056603774	0.23108391	1.0	0.0	0.1	0.29999998	1.0	0.0	283.07547	270.1	689999	47093840000000.0	9468252000000.0	202843290000000.0	298154600.0	6463943000000.0	5073873000000.0	48442194000000.0	460525.3	203672.12	42271.93	1210598.4	41176.85	-5890158000000.0	1.852512e+27	62179.97815275192
47	0.03846154	0.19230768	1.0	0.0	0.2	0.4	1.0	0.0	288.5	240.2	704999	46409445000000.0	8478917700000.0	139316070000000.0	141890180.0	6632030000000.0	5021429000000.0	48293795000000.0	450182.97	206309.22	62026.684	1102675.9	34353.133	-6061205500000.0	1.767145e+27	63125.10999441147
48	0.056603774	0.23108391	1.0	0.0	0.0	0.0	0.0	0.0	283.07547	300.0	719999	45921760000000.0	8348923600000.0	139310955000000.0	193116.62	6852049400000.0	4998060600000.0	48186064000000.0	440107.97	267272.34	53976.11	953577.2	36849.055	-6272364600000.0	1.708168e+27	64089.27369713783
49	0.056603774	0.23108391	1.0	0.0	0.1	0.29999998	1.0	0.0	283.07547	270.1	734999	45691578000000.0	8298625000000.0	139306850000000.0	181350.31	7127718000000.0	4895889000000.0	48077126000000.0	430267.88	271483.47	73516.76	1132583.6	45679.12	-6536821000000.0	1.6673662e+27	65043.47266817093
50	0.03846154	0.19230767	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	749999	45390280000000.0	8126293000000.0	139301260000000.0	170269.5	7389305600000.0	4800333000000.0	47976764000000.0	420623.47	304961.12	45181.04	1054070.6	49324.91	-6791687600000.0	1.6197075e+27	66003.72648787498
51	0.03846154	0.19230767	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	764999	44913470000000.0	7909113600000.0	139297410000000.0	158184.58	7619944000000.0	4727991400000.0	47879530000000.0	411052.44	279110.97	72668.92	1055755.2	137012.6	-7009200000000.0	1.5606906e+27	66964.50607037544
