Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	0.05232558	0.22268274	1.0	0.0	0.0	0.0	0.0	0.0	43.59302	202.3	389999	1.0398682	1.0123897	5.6521387	-0.7559221	1.0398573	1.012403	5.7369313	-0.6623302	-2.4892619	0.053518508	43071.400284051895
27	0.05232558	0.22268274	1.0	0.0	0.0	0.0	0.0	0.0	43.59302	247.0	404999	0.73567444	0.62101346	2.547272	-1.0278875	0.7356831	0.62105435	2.5346818	-0.9615498	-1.6320002	0.023134746	44764.983036994934
28	0.06051873	0.23844542	1.0	0.0	0.0	0.0	0.0	0.0	43.216137	213.9	419999	1.2880193	0.7991191	4.4630766	-1.4711	1.2880145	0.79907143	4.474688	-1.238136	-2.2510338	0.053634968	46449.35562372208
29	0.04117647	0.1986982	1.0	0.0	0.0	0.0	0.0	0.0	44.10588	244.5	434999	1.3839878	0.88976777	4.895128	-0.7596656	1.3839791	0.8897034	4.8903713	-0.7618453	-2.5411782	0.06288646	48132.55678009987
30	0.046783626	0.21117508	1.0	0.0	0.0	0.0	0.0	0.0	43.847954	215.9	449999	1.6599034	0.9186747	4.3665667	-0.81219876	1.6599231	0.9187137	4.386924	-0.8931319	-2.948505	0.068565	49797.873893499374
31	0.04296875	0.20278668	1.0	0.0	0.1	0.29999998	1.0	0.0	57.75	270.1	464999	2.4151423	2.2564452	12.196376	-0.43831384	2.4151483	2.256498	12.11661	-0.4623176	-3.656125	0.06250233	51311.84170603752
32	0.018181818	0.13360852	1.0	0.0	0.0	0.0	0.0	0.0	277.1091	254.7	479999	13.0917425	4.4214935	19.85204	-1.6406429	13.091784	4.4210997	19.338455	-1.9494169	-15.208075	0.4443312	52420.35898089409
33	0.018518519	0.13481686	1.0	0.0	0.0	0.0	0.0	0.0	276.18518	250.4	494999	14.330638	5.678659	19.790491	-2.8195376	14.330619	5.678692	19.588028	-3.1468885	-16.63537	0.43225366	53480.277069330215
34	0.011494253	0.10659333	1.0	0.0	0.1	0.29999998	1.0	0.0	170.31035	170.3	509999	12.223399	6.5624437	20.077744	-2.8038592	12.223428	6.562569	19.404692	-2.6982682	-15.665642	0.5763056	54592.97067451477
35	0.054421768	0.22684807	1.0	0.0	0.0	0.0	0.0	0.0	102.319725	82.6	524999	11.378598	7.0806894	19.758808	-2.3860447	11.378581	7.0807924	19.333067	-2.2659376	-14.676425	0.34694442	55819.99380970001
36	0.013986014	0.11743257	1.0	0.0	0.0	0.0	0.0	0.0	105.16783	237.7	539999	13.847827	6.643642	20.797676	-1.3816242	13.847889	6.6434126	20.042683	-1.739602	-15.112854	0.2980661	57083.736934661865
37	0.052173913	0.22237761	1.0	0.0	0.0	0.0	0.0	0.0	130.96521	41.1	554999	14.91264	6.809418	20.532404	-2.1078625	14.912665	6.809253	20.635208	-2.4638746	-15.848754	0.23033912	58254.09342265129
38	0.031746034	0.17532319	1.0	0.0	0.0	0.0	0.0	0.0	117.85714	241.6	569999	15.415405	6.703809	20.341543	-1.5882714	15.415384	6.7037096	20.591806	-1.6964903	-16.075478	0.20340899	59493.07226371765
39	0.06	0.23748685	1.0	0.0	0.2	0.4	1.0	0.0	152.78	162.9	584999	15.388377	6.984751	20.617859	-1.0768585	15.388387	6.984566	20.486244	-0.77554846	-16.035515	0.21662301	60659.89866900444
