Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	0.68443495	0.46474048	1.0	0.0	0.8	0.4	1.0	0.0	31.987207	24.1	329999	23.006369	8.642498	36.39146	-6.1031218	23.006508	8.640212	37.702778	-3.6145744	-2.2572587	1.0774353	7.170234	-11.46131	-23.376678	3.6305432	3289.665374517441
23	0.7058824	0.4556451	1.0	0.0	0.5	0.5	1.0	0.0	31.52311	28.0	344999	22.941874	8.482131	39.801285	-4.4611826	22.942034	8.480019	40.42732	-7.1753454	-2.2253566	1.1040503	6.8679256	-13.202256	-23.301933	3.987302	3439.352785348892
24	0.75	0.4330127	1.0	0.0	0.8	0.4	1.0	0.0	29.94	22.8	359999	22.81656	8.337585	38.775265	-5.1380076	22.816769	8.334968	37.805984	-6.512212	-2.1998305	1.1238872	7.4849534	-13.343251	-23.162693	4.3724103	3588.686346769333
25	0.78409094	0.41145152	1.0	0.0	0.9	0.29999998	1.0	0.0	28.44697	22.9	374999	22.697588	8.227868	41.34492	-4.502264	22.697802	8.225079	39.102295	-6.279063	-2.1714346	1.1477333	7.8595476	-15.590428	-23.027868	4.854024	3741.975172519684
26	0.81835204	0.3855541	1.0	0.0	0.6	0.48989797	1.0	0.0	28.095505	31.5	389999	22.556028	8.14287	38.748497	-5.6111383	22.556276	8.139736	40.413876	-7.101401	-2.13156	1.1786454	7.0249977	-13.699082	-22.87185	5.2657084	3891.8960375785828
27	0.8014706	0.39889282	1.0	0.0	1.0	0.0	1.0	1.0	27.522058	13.6	404999	22.35782	8.049295	39.955395	-7.136759	22.357946	8.04624	38.387535	-7.4266577	-2.0973723	1.2038536	8.229983	-15.328753	-22.655272	5.732625	4040.6856729984283
28	0.8161351	0.38737398	1.0	0.0	0.9	0.29999998	1.0	0.0	28.208256	21.1	419999	22.16608	7.958272	40.960037	-8.045366	22.166265	7.9550834	39.230682	-7.6778803	-2.051099	1.2339429	7.1794796	-13.409664	-22.449238	6.151772	4189.497916936874
29	0.8402062	0.36641473	1.0	0.0	0.9	0.29999998	1.0	0.0	25.762886	22.9	434999	21.964554	7.9151154	43.72632	-9.763305	21.964619	7.912358	41.847214	-8.914403	-2.0196316	1.2524205	6.8892574	-13.762202	-22.229914	6.6169033	4338.438119649887
30	0.8745704	0.33120534	1.0	0.0	1.0	0.0	1.0	1.0	25.761168	21.7	449999	21.820108	7.807168	40.43644	-9.167673	21.820152	7.8039584	39.845123	-12.361429	-1.985984	1.2726864	6.4426727	-12.407211	-22.071354	7.004473	4487.799110412598
31	0.8747826	0.33096525	1.0	0.0	0.8	0.4	1.0	0.0	26.118261	23.3	464999	21.64376	7.7492523	33.620247	-10.149642	21.643852	7.7468996	34.73003	-12.314444	-1.9555924	1.2828903	6.0810823	-13.280458	-21.87823	7.4671364	4637.076171636581
32	0.86230636	0.34457812	1.0	0.0	1.0	0.0	1.0	1.0	25.805508	16.5	479999	21.433681	7.6522846	33.46267	-9.36635	21.433752	7.649249	33.97206	-12.351044	-1.9198995	1.3057768	6.453284	-14.211418	-21.652225	7.917781	4785.932931184769
33	0.8818493	0.32278645	1.0	0.0	1.0	0.0	1.0	1.0	25.695206	15.3	494999	21.207386	7.5459013	34.763527	-10.434061	21.20755	7.5425544	33.49442	-11.61791	-1.88672	1.3241643	6.6187778	-13.512442	-21.409857	8.241748	4934.6957149505615
