epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
57	0.4	-0.28568965	-0.42599997	15.672414	83.0	56999	-0.3492242	0.015270447	4046.98499012	0.050718967
58	0.0	-0.995	-1.0	99.5	100.0	57999	-0.3481758	0.014722715	4132.98125005	0.052294638
59	0.2	-1.0	-0.765	100.0	96.7	58999	-0.3892736	0.015701732	4215.26044416	0.051680215
60	0.7	-0.34571424	0.32400003	19.410715	8.6	59999	-0.4760508	0.01776913	4270.66856599	0.052685026
61	0.0	-0.57666665	-1.0	44.095238	100.0	60999	-0.612074	0.02226722	4346.91409612	0.046922993
62	0.0	-0.987	-1.0	98.7	100.0	61999	-0.7864358	0.02142299	4427.27264595	0.050183825
63	0.0	-1.0	-1.0	100.0	100.0	62999	-0.95278764	0.020519827	4503.90208101	0.048866667
64	0.0	-1.0	-1.0	100.0	100.0	63999	-1.0577348	0.021008484	4580.30375409	0.048293795
65	0.0	-1.0	-1.0	100.0	100.0	64999	-1.0347419	0.01727528	4656.82477713	0.047130752
66	0.0	-1.0	-1.0	100.0	100.0	65999	-0.90976304	0.014692032	4725.40643406	0.044488695
67	0.0	-1.0	-1.0	100.0	100.0	66999	-0.8378583	0.02011589	4807.19147396	0.05038447
68	0.1	-0.8209091	-0.803	91.27273	90.4	67999	-0.9655107	0.028127396	4892.16707015	0.052447837
69	0.0	-0.41521737	-1.0	46.434784	100.0	68999	-1.1385498	0.030772531	4970.98750401	0.050890446
70	0.0	-0.928	-1.0	92.8	100.0	69999	-1.558142	0.04304945	5046.75326109	0.046929147
71	0.0	-1.0	-1.0	100.0	100.0	70999	-1.8445675	0.034782972	5120.50016594	0.04618838
72	0.0	-1.0	-1.0	100.0	100.0	71999	-1.746781	0.029280618	5194.34094906	0.04674169
73	0.0	-1.0	-1.0	100.0	100.0	72999	-1.5127124	0.02073718	5275.80218005	0.048015036
74	0.0	-1.0	-1.0	100.0	100.0	73999	-1.2467124	0.015340576	5352.53937197	0.04880536
75	0.0	-1.0	-1.0	100.0	100.0	74999	-0.9972684	0.014229728	5428.34084415	0.04763037
76	0.0	-1.0	-1.0	100.0	100.0	75999	-0.8276906	0.014343974	5503.70329213	0.047390312
77	0.2	-0.59692305	-0.731	83.0	93.3	76999	-0.780576	0.015263817	5576.39714313	0.047129866
78	0.2	-0.6446667	-0.66899997	65.0	87.1	77999	-0.757851	0.014780919	5652.54843807	0.049215976
79	0.0	-0.6023077	-1.0	37.846153	100.0	78999	-0.757657	0.014247394	5732.51148701	0.050400935
80	0.0	-0.962	-1.0	96.2	100.0	79999	-0.7966356	0.013746393	5809.70483899	0.04806357
81	0.0	-1.0	-1.0	100.0	100.0	80999	-0.7644651	0.011198622	5890.98149014	0.050052736
82	0.0	-1.0	-1.0	100.0	100.0	81999	-0.6628343	0.010128477	5973.17448211	0.05037818
83	0.0	-1.0	-1.0	100.0	100.0	82999	-0.52884996	0.0102740545	6052.70685816	0.04992495
84	0.0	-1.0	-1.0	100.0	100.0	83999	-0.46420583	0.010972646	6142.61607909	0.05159917
85	0.0	-1.0	-1.0	100.0	100.0	84999	-0.5281863	0.013624447	6229.56449103	0.054206967
86	0.0	-1.0	-1.0	100.0	100.0	85999	-0.5568339	0.009681667	6302.954422	0.048360396
87	0.0	-1.0	-1.0	100.0	100.0	86999	-0.519842	0.010150183	6375.05933309	0.04541545
88	0.0	-1.0	-1.0	100.0	100.0	87999	-0.5190509	0.009027295	6448.68315005	0.045996446
89	0.0	-1.0	-1.0	100.0	100.0	88999	-0.4649923	0.007696956	6523.62935996	0.04705851
90	0.0	-1.0118182	-1.0	92.181816	100.0	89999	-0.38949847	0.007948595	6596.57182598	0.045669716
91	0.0	-1.0981818	-1.257	91.818184	86.1	90999	-0.32788876	0.010607768	6666.51483798	0.04601347
