epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
1	0.0	-0.94326085	-1.0	21.413044	100.0	999	-0.589238	0.023188286	75.0206489563	0.04643567
2	0.0	-0.9262222	-1.0	22.48889	100.0	1999	-0.9698623	0.01703148	149.064929962	0.045977477
3	0.0	-0.8345652	-1.0	21.391304	100.0	2999	-1.1720892	0.023642983	224.799376011	0.04563845
4	0.0	-0.8910204	-1.0	20.693878	100.0	3999	-1.5269104	0.036687378	298.296037912	0.045837358
5	0.2	-0.8571698	-0.63199997	18.773584	4.2	4999	-2.4563818	0.08218893	346.272196054	0.04656923
6	0.1	-1.0263636	-0.8289999	18.181818	3.9	5999	-4.441096	0.18974194	393.997519016	0.046391647
7	0.0	-0.8377778	-1.03	18.11111	4.0	6999	-8.208124	0.68563837	441.709399939	0.0464646
8	0.0	-0.8658697	-1.0	22.369566	100.0	7999	-14.982916	2.1969697	513.717834949	0.046015758
9	0.1	-0.8977778	-0.85	18.537037	6.0	8999	-22.890987	5.339072	562.076711893	0.046449676
10	0.0	-0.95000005	-1.0	19.076923	100.0	9999	-35.980118	13.50836	634.258502007	0.046127107
11	0.0	-0.9736364	-1.0	88.36364	100.0	10999	-48.58529	21.302893	711.2579391	0.04847687
12	0.0	-0.93899995	-1.0	93.9	100.0	11999	-52.415043	18.04414	786.047259092	0.049514618
13	0.0	-1.0	-1.0	100.0	100.0	12999	-52.088028	14.166084	853.830313921	0.04474929
14	0.0	-1.0	-1.0	100.0	100.0	13999	-49.764393	10.434424	932.888870001	0.048441384
15	0.0	-1.0	-1.0940001	100.0	99.5	14999	-45.24397	7.940655	1012.01651311	0.050155357
16	0.0	-1.0	-1.0	100.0	100.0	15999	-41.707417	6.8116565	1083.41278195	0.047857184
17	0.0	-1.0	-1.0	100.0	100.0	16999	-40.29971	5.092591	1160.10770988	0.049896363
18	0.0	-1.0	-1.0	100.0	100.0	17999	-36.892124	3.9933326	1232.29156089	0.048003826
19	0.0	-1.0936364	-1.0	91.36364	100.0	18999	-32.515484	3.52587	1303.98469901	0.04813709
20	0.0	-1.0372727	-1.0	94.72727	100.0	19999	-28.402029	2.3971715	1373.96089792	0.045500282
21	0.0	-0.95299995	-1.0	95.3	100.0	20999	-25.846807	1.9664984	1443.67809796	0.045217607
22	0.0	-1.2813636	-1.0	47.136364	100.0	21999	-23.487324	1.907071	1513.50854611	0.046129663
23	0.0	-0.89699996	-1.0	50.2	100.0	22999	-20.649391	1.887075	1582.7770071	0.04514851
24	0.0	-1.0375	-1.073	87.25	77.6	23999	-18.187698	1.5344539	1650.50922489	0.04601191
25	0.0	-1.079091	-1.0	89.90909	100.0	24999	-15.934083	1.150553	1723.85660696	0.04679817
26	0.0	-0.923	-1.0	92.3	100.0	25999	-13.787394	0.8642798	1798.39312291	0.047928635
27	0.0	-1.02	-1.0	93.0	100.0	26999	-12.093178	0.7489718	1867.77218604	0.0457315
28	0.0	-0.98583335	-1.0	82.083336	100.0	27999	-10.687123	0.5762344	1937.80742502	0.04578062
29	0.0	-1.0210812	-1.0	27.18919	100.0	28999	-9.391863	0.49459764	2005.32878304	0.044858597
30	0.0	-0.98600006	-1.0	98.6	100.0	29999	-8.437627	0.42098022	2074.31072998	0.044926353
31	0.0	-1.0	-1.0	100.0	100.0	30999	-8.075724	0.35716894	2144.59818792	0.04537223
32	0.0	-1.0	-1.0	100.0	100.0	31999	-7.7533474	0.30187708	2214.19197893	0.04513975
33	0.0	-1.0	-1.032	100.0	93.3	32999	-7.292321	0.24269003	2280.17723393	0.044526204
34	0.0	-1.0373334	-1.1010001	70.73333	90.3	33999	-6.7078056	0.19883113	2348.36174703	0.045736305
35	0.0	-0.9814285	-1.003	69.85714	90.4	34999	-6.115664	0.17088033	2415.04407692	0.045224912
36	0.0	-1.139091	-1.0	95.90909	100.0	35999	-5.5397205	0.13544004	2482.42484903	0.04411479
37	0.0	-0.90599996	-1.0	90.6	100.0	36999	-5.0214596	0.11172469	2554.93510389	0.04584068
